evnum  e_px   e_py   e_pz  piPlus_px  piPlus_py  piPlus_pz  piMinus_px  piMinus_py  piMinus_pz  x     y     Q2    W     Mmiss  Zpair   Mh     gamma  epsilon  dp_A   dp_C  dp_W  s_Harut  s_PRL  s_Fiducial
9842   -1.03  -0.26  5.02  0.11       0.21       0.43       0.22        0.38        1.54        0.23  0.52  2.34  2.97  2.18   0.39    0.38   0.28   0.77     2.45   0.37  1.40  0        0      1
9843   0.11   0.61   2.81  -0.50      -0.25      1.78       -0.33       -0.01       0.63        0.10  0.73  1.45  3.73  2.69   0.34    0.42   0.16   0.50     5.58   0.46  3.90  0        0      0
9895   -0.46  0.60   2.32  0.08       -0.23      0.98       -0.71       -0.13       1.87        0.17  0.77  2.53  3.70  2.48   0.37    0.73   0.19   0.42     1.77   0.46  1.21  0        0      1
9926   -0.88  0.85   7.10  0.05       -0.71      1.57       0.40        0.15        1.20        0.35  0.32  2.23  2.24  0.98   0.88    0.94   0.44   0.92     3.16   0.25  1.13  0        0      0
9985   0.42   0.80   5.86  -0.07      -0.16      0.73       -0.46       -0.22       1.91        0.17  0.44  1.46  2.86  1.90   0.59    0.38   0.26   0.84     6.90   0.33  3.44  0        0      1
5      0.27   0.53   2.38  -0.18      0.26       2.21       0.58        -0.12       0.79        0.10  0.77  1.56  3.82  2.47   0.40    1.13   0.15   0.43     4.72   0.47  3.26  0        0      1
13     -1.19  -1.21  4.33  0.27       -0.06      1.31       -0.20       0.94        1.74        0.61  0.56  6.80  2.29  0.92   0.56    1.03   0.44   0.69     0.26   0.37  0.15  0        0      0
35     1.11   0.28   5.02  -0.54      0.40       1.80       -0.48       0.11        1.06        0.27  0.51  2.73  2.90  1.67   0.57    0.39   0.30   0.77     1.78   0.37  1.02  0        0      1
115    -0.80  0.72   4.63  -0.14      -0.15      0.42       0.63        0.10        1.40        0.24  0.55  2.62  3.04  2.19   0.35    0.77   0.28   0.73     1.89   0.38  1.14  0        0      1
135    0.42   0.78   6.50  -0.13      -0.13      1.10       -0.18       -0.41       1.21        0.17  0.38  1.27  2.68  1.81   0.60    0.38   0.28   0.89     9.83   0.30  4.23  0        0      0
222    -1.13  -0.23  6.75  0.59       0.06       0.74       0.76        -0.03       1.60        0.29  0.35  2.07  2.42  1.21   0.73    0.43   0.38   0.90     3.59   0.27  1.43  0        0      1
238    -0.84  0.87   2.96  0.36       0.05       0.89       0.37        -0.09       1.00        0.36  0.70  5.04  3.12  2.42   0.28    0.31   0.30   0.52     0.45   0.44  0.30  0        0      1
319    -1.13  0.17   4.14  0.12       -0.47      1.28       0.25        0.29        0.73        0.28  0.59  3.26  3.07  2.23   0.35    0.82   0.29   0.68     1.17   0.40  0.74  0        0      1
338    -0.79  -0.06  3.28  0.24       -0.25      1.28       0.29        -0.00       0.44        0.15  0.68  2.02  3.52  2.82   0.26    0.48   0.20   0.57     2.93   0.44  2.02  0        0      1
388    0.25   -0.46  0.85  -0.41      0.03       1.14       -0.40       0.20        0.76        0.18  0.91  3.17  3.97  3.00   0.22    0.38   0.19   0.17     1.07   0.49  0.56  0        0      0
388    0.25   -0.46  0.85  0.06       0.12       0.70       -0.40       0.20        0.76        0.18  0.91  3.17  3.97  3.29   0.17    0.53   0.19   0.17     1.07   0.49  0.56  0        0      0
402    -0.55  -0.25  2.37  0.43       0.35       3.45       -0.07       0.39        0.92        0.11  0.77  1.61  3.82  2.42   0.55    0.75   0.16   0.43     4.43   0.47  3.06  0        0      1
415    0.36   -0.23  1.50  -0.24      -0.54      0.65       -0.43       0.53        4.14        0.08  0.85  1.29  4.07  2.27   0.56    1.59   0.13   0.28     6.63   0.49  4.18  0        0      0
434    0.36   -0.68  3.35  -0.23      -0.17      0.40       -0.45       -0.38       0.87        0.14  0.68  1.84  3.53  2.30   0.22    0.30   0.19   0.57     3.57   0.44  2.45  0        0      1
483    0.03   0.52   1.69  0.47       -0.59      3.09       0.33        -0.24       0.92        0.10  0.83  1.68  3.97  2.50   0.48    0.48   0.15   0.32     3.94   0.48  2.56  0        0      1
492    -0.94  -0.05  4.61  0.50       0.54       1.94       0.70        0.14        0.95        0.18  0.56  2.00  3.15  1.60   0.56    0.69   0.24   0.73     3.27   0.39  2.00  0        0      1
510    0.22   0.54   2.59  -0.10      0.48       4.89       -0.56       -0.37       1.59        0.09  0.75  1.36  3.80  1.43   0.84    1.32   0.15   0.46     6.33   0.46  4.42  0        0      1
545    0.77   0.89   4.26  -0.11      -0.61      1.81       -0.04       -0.37       0.63        0.29  0.58  3.39  3.02  2.06   0.43    0.40   0.30   0.69     1.09   0.40  0.68  0        0      1
545    0.77   0.89   4.26  -0.27      0.07       0.91       -0.04       -0.37       0.63        0.29  0.58  3.39  3.02  2.38   0.28    0.60   0.30   0.69     1.09   0.40  0.68  0        0      1
568    -0.56  1.46   5.88  0.19       -0.45      2.15       0.03        -0.42       0.63        0.51  0.43  4.31  2.25  1.38   0.66    0.59   0.46   0.84     0.72   0.30  0.34  0        0      1
617    -0.18  -0.55  1.55  -0.01      0.13       1.03       0.48        0.44        1.03        0.13  0.84  2.23  3.93  3.00   0.25    0.61   0.17   0.29     2.22   0.48  1.41  0        0      1
723    -1.20  -0.38  4.71  -0.15      -0.17      1.24       0.47        -0.12       0.96        0.33  0.54  3.52  2.85  1.93   0.41    0.71   0.33   0.74     1.03   0.37  0.61  0        0      1
723    -1.20  -0.38  4.71  0.30       0.07       1.09       0.47        -0.12       0.96        0.33  0.54  3.52  2.85  2.13   0.39    0.40   0.33   0.74     1.03   0.37  0.61  0        0      1
764    0.50   -0.46  2.10  -0.02      -0.20      0.92       -0.27       0.26        0.79        0.14  0.79  2.26  3.79  3.14   0.22    0.60   0.18   0.39     2.20   0.47  1.49  0        0      1
788    -0.37  -1.28  2.85  0.03       0.34       1.52       0.45        0.25        0.51        0.45  0.70  6.29  2.93  1.96   0.31    0.78   0.34   0.51     0.28   0.43  0.19  0        0      1
788    -0.37  -1.28  2.85  0.02       -0.26      1.26       0.45        0.25        0.51        0.45  0.70  6.29  2.93  1.72   0.27    0.88   0.34   0.51     0.28   0.43  0.19  0        0      1
814    0.69   -0.41  2.58  -0.53      0.27       1.54       -0.29       -0.29       0.54        0.17  0.75  2.58  3.62  2.58   0.30    0.72   0.20   0.46     1.72   0.46  1.19  0        0      1
814    0.69   -0.41  2.58  0.09       -0.07      1.08       -0.29       -0.29       0.54        0.17  0.75  2.58  3.62  2.81   0.23    0.63   0.20   0.46     1.72   0.46  1.19  0        0      1
815    0.37   0.91   3.62  0.12       -0.34      1.67       -0.11       -0.39       0.81        0.22  0.65  2.77  3.31  2.49   0.38    0.49   0.24   0.61     1.58   0.43  1.06  0        0      1
881    -0.80  -0.12  3.49  -0.11      0.30       1.16       0.40        -0.33       1.18        0.15  0.66  1.95  3.48  2.58   0.36    0.86   0.20   0.59     3.21   0.43  2.18  1        0      1
881    -0.80  -0.12  3.49  -0.34      -0.21      0.58       0.40        -0.33       1.18        0.15  0.66  1.95  3.48  2.39   0.29    0.82   0.20   0.59     3.21   0.43  2.18  0        0      1
903    0.89   -0.60  4.65  -0.61      0.99       2.27       0.06        0.35        0.76        0.24  0.55  2.61  3.04  1.45   0.58    0.56   0.28   0.73     1.91   0.38  1.15  0        0      0
911    -0.34  -0.81  4.79  0.13       -0.13      1.12       0.40        0.60        2.99        0.16  0.54  1.69  3.15  1.72   0.74    0.66   0.23   0.75     4.69   0.38  2.81  0        0      1
921    0.17   1.12   5.60  0.35       0.04       0.89       0.09        -0.38       0.91        0.26  0.46  2.43  2.76  1.91   0.40    0.57   0.32   0.82     2.38   0.34  1.23  0        0      1
921    0.17   1.12   5.60  -0.26      -0.12      0.66       0.09        -0.38       0.91        0.26  0.46  2.43  2.76  2.15   0.35    0.50   0.32   0.82     2.38   0.34  1.23  0        0      1
948    -0.51  0.82   5.87  -0.18      -0.02      0.56       0.50        0.19        0.91        0.19  0.44  1.69  2.82  1.93   0.36    0.70   0.28   0.84     5.15   0.33  2.55  0        0      1
969    0.32   0.91   3.95  -0.50      -0.60      2.21       -0.15       -0.75       2.27        0.20  0.62  2.46  3.27  1.55   0.73    0.47   0.24   0.65     2.07   0.41  1.35  1        1      1
969    0.32   0.91   3.95  0.27       -0.10      0.83       -0.15       -0.75       2.27        0.20  0.62  2.46  3.27  2.17   0.50    0.69   0.24   0.65     2.07   0.41  1.35  0        0      1
982    -1.05  -0.05  5.09  0.60       -0.23      1.05       0.37        0.31        1.49        0.23  0.51  2.30  2.96  1.91   0.52    0.71   0.28   0.78     2.57   0.37  1.46  0        0      1
1012   -1.01  0.83   5.70  0.56       -0.26      1.19       0.43        -0.89       2.83        0.35  0.45  3.16  2.58  0.97   0.91    0.67   0.37   0.83     1.38   0.33  0.69  1        0      1
1079   -0.30  -0.21  0.99  -0.08      -0.39      1.42       0.19        0.59        3.58        0.08  0.90  1.39  4.17  2.74   0.54    1.06   0.12   0.19     5.68   0.49  3.12  0        0      1
1079   -0.30  -0.21  0.99  -0.17      0.00       0.46       0.19        0.59        3.58        0.08  0.90  1.39  4.17  2.98   0.43    0.73   0.12   0.19     5.68   0.49  3.12  0        0      1
1086   -0.81  -0.30  3.23  0.21       -0.17      0.50       -0.00       0.48        1.10        0.18  0.68  2.43  3.48  2.70   0.25    0.72   0.21   0.56     2.02   0.44  1.38  0        0      1
1149   0.46   -0.82  5.56  -0.40      0.15       1.09       0.41        -0.29       1.01        0.18  0.47  1.68  2.92  1.75   0.47    0.96   0.26   0.82     5.03   0.35  2.65  0        0      1
1164   0.97   -0.16  3.33  -0.03      0.41       0.70       -0.37       -0.58       2.63        0.23  0.67  3.01  3.35  2.12   0.50    1.13   0.24   0.57     1.31   0.43  0.89  0        0      1
1164   0.97   -0.16  3.33  -0.03      0.41       0.70       0.08        0.40        0.64        0.23  0.67  3.01  3.35  2.29   0.22    0.30   0.24   0.57     1.31   0.43  0.89  0        0      1
1192   0.30   -0.32  1.45  0.17       -0.15      0.54       -0.46       -0.42       0.97        0.08  0.86  1.36  4.07  3.01   0.19    0.65   0.13   0.27     5.98   0.49  3.73  0        0      1
1194   -0.69  1.11   7.64  -0.13      0.75       2.25       0.04        -0.36       0.89        0.44  0.27  2.37  1.97  1.65   1.18    1.09   0.54   0.94     2.82   0.20  0.84  0        0      1
1244   -0.23  -0.60  2.58  0.42       0.16       1.83       0.31        -0.47       2.47        0.11  0.75  1.68  3.76  2.21   0.56    0.69   0.16   0.46     4.13   0.46  2.88  1        1      1
1244   -0.23  -0.60  2.58  0.42       0.16       1.83       -0.49       -0.05       0.63        0.11  0.75  1.68  3.76  2.63   0.34    1.11   0.16   0.46     4.13   0.46  2.88  0        0      1
1244   -0.23  -0.60  2.58  -0.03      -0.27      0.35       0.31        -0.47       2.47        0.11  0.75  1.68  3.76  2.38   0.38    0.66   0.16   0.46     4.13   0.46  2.88  0        0      1
1244   -0.23  -0.60  2.58  -0.03      -0.27      0.35       -0.49       -0.05       0.63        0.11  0.75  1.68  3.76  2.60   0.16    0.55   0.16   0.46     4.13   0.46  2.88  0        0      1
1257   -0.36  -0.85  3.91  -0.22      0.42       1.87       0.04        -0.39       0.38        0.18  0.62  2.28  3.31  2.12   0.38    1.08   0.23   0.65     2.39   0.42  1.58  0        0      1
1313   -0.37  -0.29  0.60  -0.07      -1.56      5.23       0.28        0.59        2.28        0.18  0.93  3.36  4.00  0.93   0.80    2.01   0.19   0.13     0.95   0.49  0.44  0        0      1
1355   -0.26  -0.49  1.19  0.44       0.42       1.25       -0.23       -0.27       0.53        0.15  0.88  2.61  3.96  2.92   0.22    0.98   0.17   0.23     1.61   0.49  0.94  0        0      1
1355   -0.26  -0.49  1.19  -0.14      -0.08      0.75       -0.23       -0.27       0.53        0.15  0.88  2.61  3.96  3.18   0.15    0.39   0.17   0.23     1.61   0.49  0.94  0        0      1
1383   -0.24  -1.13  4.29  0.46       0.51       1.49       -0.33       0.24        0.40        0.28  0.58  3.24  3.03  1.98   0.36    0.92   0.29   0.69     1.20   0.40  0.75  0        0      1
1403   -0.36  -0.82  6.37  -0.07      0.20       0.47       0.56        0.41        1.51        0.17  0.39  1.34  2.71  1.82   0.53    0.56   0.28   0.88     8.65   0.30  3.85  0        0      0
1521   1.21   0.11   5.16  0.10       0.21       0.99       -0.18       -0.35       0.55        0.30  0.50  3.01  2.80  1.98   0.33    0.75   0.33   0.78     1.48   0.36  0.82  0        0      1
1521   1.21   0.11   5.16  -0.15      -0.28      0.68       -0.18       -0.35       0.55        0.30  0.50  3.01  2.80  2.02   0.28    0.31   0.33   0.78     1.48   0.36  0.82  0        0      1
1531   -0.38  -0.68  2.42  0.03       0.28       0.56       0.67        -0.28       1.84        0.17  0.76  2.60  3.66  2.58   0.33    0.79   0.20   0.44     1.69   0.46  1.16  0        0      1
1538   0.15   -0.57  1.40  -0.05      0.61       2.98       -0.35       0.35        1.71        0.15  0.86  2.49  3.93  2.53   0.53    0.51   0.17   0.27     1.77   0.48  1.09  0        0      0
1545   -0.17  -1.06  5.49  0.00       0.33       0.52       -0.66       0.36        2.60        0.23  0.47  2.20  2.84  1.41   0.67    0.72   0.30   0.81     2.90   0.35  1.54  0        0      0
1556   -0.64  -0.06  3.28  0.14       -0.07      0.77       0.00        -0.44       1.31        0.10  0.69  1.33  3.63  2.84   0.30    0.42   0.16   0.56     6.87   0.44  4.76  0        0      1
1556   -0.64  -0.06  3.28  -0.06      0.28       0.56       0.00        -0.44       1.31        0.10  0.69  1.33  3.63  2.78   0.28    0.79   0.16   0.56     6.87   0.44  4.76  0        0      1
1561   0.32   -0.66  3.31  0.03       0.55       0.64       -0.44       0.13        1.13        0.13  0.68  1.69  3.57  2.51   0.29    0.76   0.18   0.57     4.21   0.44  2.90  0        0      0
1561   0.32   -0.66  3.31  0.37       -0.14      0.49       -0.44       0.13        1.13        0.13  0.68  1.69  3.57  2.58   0.26    0.94   0.18   0.57     4.21   0.44  2.90  0        0      0
1591   -0.53  0.34   1.86  0.45       0.14       0.94       -0.06       -0.43       0.60        0.13  0.81  2.18  3.86  2.89   0.21    0.83   0.17   0.35     2.35   0.48  1.56  0        0      1
1591   -0.53  0.34   1.86  0.13       -0.26      0.35       -0.06       -0.43       0.60        0.13  0.81  2.18  3.86  2.92   0.14    0.36   0.17   0.35     2.35   0.48  1.56  0        0      1
1597   -0.78  -1.03  4.23  0.38       0.25       0.67       -0.32       0.16        0.50        0.35  0.58  4.05  2.90  2.04   0.24    0.75   0.33   0.68     0.75   0.39  0.47  0        0      1
1800   0.92   0.14   6.04  -0.30      -0.31      0.42       0.38        -0.15       0.59        0.18  0.42  1.50  2.80  1.72   0.30    0.76   0.27   0.86     6.66   0.32  3.19  0        0      0
1916   -0.49  -1.01  4.92  -0.04      0.07       1.28       0.16        0.57        1.16        0.26  0.52  2.68  2.94  2.09   0.47    0.62   0.29   0.76     1.84   0.37  1.07  0        0      1
1916   -0.49  -1.01  4.92  0.32       -0.19      0.63       0.16        0.57        1.16        0.26  0.52  2.68  2.94  2.04   0.37    0.80   0.29   0.76     1.84   0.37  1.07  0        0      1
1945   -0.56  0.75   5.29  0.26       -0.68      2.54       -0.43       0.17        0.78        0.18  0.49  1.74  2.99  1.49   0.68    1.18   0.25   0.80     4.62   0.36  2.56  0        0      1
1951   -0.48  -0.05  1.42  0.47       -0.31      1.51       -0.53       0.62        1.47        0.10  0.86  1.70  4.03  2.56   0.36    1.39   0.14   0.27     3.83   0.49  2.37  0        0      1
1979   0.56   1.24   3.63  -0.05      -0.31      0.91       -0.16       -0.37       0.54        0.41  0.63  5.23  2.88  2.26   0.25    0.39   0.34   0.61     0.43   0.41  0.28  0        0      1
2021   0.15   0.39   1.11  0.10       0.35       0.50       -0.49       -0.16       2.19        0.09  0.89  1.63  4.11  3.02   0.31    0.95   0.14   0.21     4.13   0.49  2.36  0        0      1
2021   0.15   0.39   1.11  0.23       -0.26      0.39       -0.49       -0.16       2.19        0.09  0.89  1.63  4.11  3.06   0.30    0.96   0.14   0.21     4.13   0.49  2.36  0        0      1
2048   -0.64  -1.13  2.69  0.02       0.26       0.66       -0.44       0.45        2.09        0.44  0.72  6.33  2.97  1.97   0.38    0.47   0.33   0.48     0.28   0.44  0.19  0        0      1
2135   -0.47  -0.78  5.43  0.21       0.17       1.01       -0.52       -0.20       1.59        0.17  0.48  1.62  2.97  1.71   0.54    0.82   0.25   0.81     5.40   0.35  2.92  0        0      1
2153   0.28   -0.56  2.77  0.20       0.05       1.10       0.15        0.64        1.97        0.10  0.73  1.47  3.74  2.66   0.41    0.53   0.16   0.49     5.41   0.46  3.78  0        0      0
2270   -0.85  0.05   4.34  0.39       -0.15      0.84       -0.01       0.25        0.35        0.15  0.58  1.76  3.27  2.60   0.23    0.62   0.21   0.70     4.17   0.40  2.65  0        0      1
2304   -0.48  0.52   2.55  0.31       0.10       1.32       0.27        -0.54       0.80        0.14  0.75  2.07  3.71  2.69   0.30    0.80   0.18   0.46     2.68   0.46  1.86  0        0      1
2304   -0.48  0.52   2.55  0.13       0.01       0.79       0.27        -0.54       0.80        0.14  0.75  2.07  3.71  2.86   0.23    0.61   0.18   0.46     2.68   0.46  1.86  0        0      1
2304   -0.48  0.52   2.55  0.15       -0.16      0.51       0.27        -0.54       0.80        0.14  0.75  2.07  3.71  2.81   0.20    0.36   0.18   0.46     2.68   0.46  1.86  0        0      1
2317   -0.48  1.03   5.28  -0.01      -0.19      0.69       0.42        -0.22       0.80        0.26  0.49  2.55  2.85  2.21   0.32    0.49   0.31   0.79     2.10   0.35  1.15  0        0      1
2420   -0.45  -0.21  1.05  -0.06      -0.41      1.40       0.21        0.48        1.56        0.13  0.89  2.39  4.03  3.03   0.33    0.96   0.16   0.20     1.91   0.49  1.07  0        0      1
2441   0.35   0.17   1.20  -0.37      -0.28      0.97       0.44        -0.07       0.66        0.07  0.88  1.28  4.14  3.13   0.20    0.89   0.12   0.23     6.67   0.49  3.93  0        0      0
2452   0.44   1.13   7.18  -0.50      -0.38      1.60       0.10        -0.47       0.66        0.34  0.31  2.15  2.23  1.22   0.77    0.73   0.44   0.92     3.43   0.24  1.20  0        0      1
2459   -1.03  -0.08  2.87  1.05       0.13       2.97       0.38        0.24        1.36        0.27  0.71  3.81  3.35  1.82   0.61    0.43   0.26   0.51     0.79   0.44  0.54  1        1      1
2459   -1.03  -0.08  2.87  1.05       0.13       2.97       -0.52       0.38        0.89        0.27  0.71  3.81  3.35  1.56   0.56    1.66   0.26   0.51     0.79   0.44  0.54  0        0      1
2574   0.60   0.29   2.36  -0.32      0.04       1.87       0.54        -0.38       0.55        0.13  0.77  1.94  3.78  2.32   0.34    1.29   0.17   0.43     3.05   0.47  2.10  0        0      1
2574   0.60   0.29   2.36  -0.46      0.08       0.54       0.54        -0.38       0.55        0.13  0.77  1.94  3.78  2.13   0.20    1.12   0.17   0.43     3.05   0.47  2.10  0        0      1
2639   0.41   0.20   1.30  0.20       0.14       2.52       -0.40       -0.73       4.07        0.10  0.87  1.65  4.07  2.12   0.73    0.99   0.14   0.25     4.03   0.49  2.44  0        0      1
2639   0.41   0.20   1.30  -0.33      0.24       1.59       -0.40       -0.73       4.07        0.10  0.87  1.65  4.07  2.36   0.63    0.93   0.14   0.25     4.03   0.49  2.44  0        0      1
2708   -0.40  -0.03  0.74  -0.24      0.29       1.22       0.69        0.10        1.92        0.12  0.92  2.17  4.13  3.00   0.34    0.93   0.15   0.15     2.31   0.49  1.14  0        0      0
2809   -0.39  -0.93  6.64  0.30       -0.09      0.54       -0.04       0.68        1.67        0.22  0.37  1.61  2.56  1.56   0.63    0.84   0.33   0.89     6.08   0.28  2.51  0        0      1
2851   -1.36  -0.22  5.61  -0.28      -0.20      1.46       1.42        0.02        1.62        0.39  0.45  3.54  2.53  0.73   0.76    1.62   0.39   0.82     1.08   0.33  0.55  0        0      1
2876   0.26   1.31   3.16  -0.26      0.13       0.60       0.19        -0.43       0.83        0.43  0.68  5.74  2.93  2.14   0.23    0.75   0.33   0.55     0.35   0.42  0.23  0        0      1
2992   -0.32  0.28   1.52  -0.33      -0.34      1.56       0.01        0.38        1.22        0.07  0.85  1.20  4.08  3.06   0.32    0.84   0.12   0.28     7.67   0.49  4.86  0        0      0
2992   -0.32  0.28   1.52  -0.33      -0.34      1.56       0.45        -0.10       0.74        0.07  0.85  1.20  4.08  3.06   0.28    0.93   0.12   0.28     7.67   0.49  4.86  0        0      0
2992   -0.32  0.28   1.52  -0.25      -0.37      0.96       0.01        0.38        1.22        0.07  0.85  1.20  4.08  3.14   0.26    0.85   0.12   0.28     7.67   0.49  4.86  0        0      0
2992   -0.32  0.28   1.52  -0.25      -0.37      0.96       0.45        -0.10       0.74        0.07  0.85  1.20  4.08  3.10   0.22    0.81   0.12   0.28     7.67   0.49  4.86  0        0      0
2992   -0.32  0.28   1.52  0.26       0.01       0.54       0.01        0.38        1.22        0.07  0.85  1.20  4.08  3.30   0.21    0.54   0.12   0.28     7.67   0.49  4.86  0        0      0
2992   -0.32  0.28   1.52  0.26       0.01       0.54       0.45        -0.10       0.74        0.07  0.85  1.20  4.08  3.25   0.17    0.31   0.12   0.28     7.67   0.49  4.86  0        0      0
3003   -0.53  0.61   1.08  -0.29      -0.19      1.66       -0.24       -0.26       0.36        0.33  0.87  5.78  3.53  2.45   0.24    0.62   0.26   0.22     0.32   0.48  0.18  0        0      1
3029   -0.48  0.47   2.62  0.41       -0.08      0.87       0.46        -0.14       1.03        0.12  0.75  1.82  3.73  2.81   0.27    0.28   0.17   0.47     3.50   0.46  2.43  0        0      1
3035   -0.86  -0.57  2.78  -0.02      -0.13      0.53       0.42        0.11        1.34        0.28  0.72  3.95  3.36  2.74   0.26    0.51   0.26   0.49     0.74   0.45  0.50  0        0      0
3035   -0.86  -0.57  2.78  -0.02      -0.13      0.53       -0.08       0.24        0.41        0.28  0.72  3.95  3.36  2.81   0.14    0.47   0.26   0.49     0.74   0.45  0.50  0        0      0
3099   -1.35  -0.73  4.53  0.66       -0.26      1.14       0.14        0.49        1.64        0.49  0.55  5.35  2.54  1.48   0.53    1.01   0.40   0.72     0.43   0.37  0.25  0        0      0
3099   -1.35  -0.73  4.53  0.21       -0.17      0.85       0.14        0.49        1.64        0.49  0.55  5.35  2.54  1.76   0.45    0.69   0.40   0.72     0.43   0.37  0.25  0        0      0
3115   0.64   -0.57  4.21  -0.90      0.28       3.57       0.29        -0.32       0.74        0.16  0.59  1.84  3.30  1.58   0.72    1.37   0.22   0.68     3.77   0.41  2.42  0        0      1
3115   0.64   -0.57  4.21  0.16       0.08       0.49       0.29        -0.32       0.74        0.16  0.59  1.84  3.30  2.36   0.22    0.45   0.22   0.68     3.77   0.41  2.42  0        0      0
3119   0.47   -0.85  3.01  -0.23      0.15       1.61       -0.01       -0.40       1.03        0.23  0.70  3.26  3.40  2.42   0.37    0.70   0.24   0.53     1.10   0.44  0.75  0        0      1
3119   0.47   -0.85  3.01  -0.55      0.31       1.16       -0.01       -0.40       1.03        0.23  0.70  3.26  3.40  2.27   0.33    0.92   0.24   0.53     1.10   0.44  0.75  0        0      1
3132   0.61   -0.87  5.93  -0.34      0.13       0.84       0.11        0.04        0.18        0.23  0.43  2.01  2.73  2.20   0.26    0.52   0.31   0.85     3.59   0.32  1.75  0        0      1
3152   1.13   0.00   5.07  0.19       -0.15      0.55       -0.51       0.33        1.91        0.26  0.51  2.65  2.90  1.93   0.49    0.83   0.30   0.77     1.91   0.36  1.09  0        0      1
3180   -0.05  -0.69  2.60  0.38       0.25       1.07       -0.10       -0.26       0.28        0.13  0.75  1.93  3.72  2.81   0.20    0.80   0.18   0.46     3.11   0.46  2.16  0        0      1
3191   1.63   -0.27  3.98  -0.24      0.28       0.62       -0.38       0.11        0.49        0.59  0.59  6.94  2.40  1.69   0.22    0.37   0.42   0.65     0.24   0.38  0.15  0        0      1
3224   0.55   1.32   5.07  0.16       -0.32      0.40       -0.28       -0.22       0.54        0.42  0.50  4.19  2.59  1.93   0.23    0.53   0.38   0.77     0.73   0.35  0.41  0        0      1
3318   0.57   1.09   2.58  0.17       -0.10      0.94       0.37        -0.25       1.40        0.41  0.73  5.91  3.08  2.18   0.32    0.31   0.31   0.47     0.32   0.44  0.21  0        0      1
3398   0.31   0.91   5.22  -0.40      0.21       0.80       -0.44       0.03        0.63        0.19  0.50  1.85  2.99  1.81   0.32    0.34   0.26   0.79     4.03   0.36  2.25  0        0      1
3493   1.31   -0.35  5.66  -0.10      0.23       0.91       -0.52       0.38        0.78        0.38  0.45  3.38  2.54  1.70   0.41    0.54   0.38   0.82     1.19   0.33  0.60  0        0      0
3522   1.01   0.33   5.36  0.06       0.31       0.46       -0.56       0.46        1.19        0.23  0.48  2.21  2.88  1.55   0.38    0.58   0.29   0.80     2.83   0.35  1.54  0        0      0
3594   0.52   0.92   7.25  0.06       -0.14      0.64       0.08        -0.50       0.87        0.26  0.31  1.62  2.33  1.57   0.52    0.38   0.39   0.93     6.33   0.24  2.19  0        0      1
3595   0.31   0.97   5.26  0.01       -0.33      1.75       -0.69       -0.36       1.15        0.21  0.50  2.09  2.94  1.68   0.61    0.87   0.28   0.79     3.15   0.36  1.74  0        1      1
3600   0.52   -0.81  6.13  0.15       0.52       1.24       -0.59       -0.17       1.69        0.19  0.41  1.60  2.75  1.46   0.72    1.05   0.29   0.86     5.89   0.32  2.76  0        0      1
3624   -0.43  0.51   3.12  -0.21      -0.50      1.77       0.40        -0.05       0.66        0.11  0.70  1.48  3.65  2.65   0.36    0.86   0.16   0.54     5.49   0.45  3.82  0        0      1
3625   0.58   -0.66  3.88  0.25       -0.03      0.92       -0.08       0.39        1.15        0.17  0.62  2.08  3.35  2.56   0.33    0.59   0.22   0.64     2.90   0.42  1.92  0        0      1
3646   0.05   0.46   1.25  0.06       -0.45      1.12       -0.51       -0.12       2.32        0.10  0.87  1.72  4.07  2.93   0.39    0.77   0.14   0.24     3.70   0.49  2.21  0        0      1
3647   0.47   -0.54  2.55  -0.37      0.12       1.19       -0.04       0.63        1.17        0.14  0.75  2.12  3.70  2.68   0.33    0.66   0.18   0.46     2.56   0.46  1.78  1        0      1
3647   0.47   -0.54  2.55  0.04       -0.22      0.49       -0.04       0.63        1.17        0.14  0.75  2.12  3.70  2.81   0.24    0.81   0.18   0.46     2.56   0.46  1.78  0        0      1
3747   0.51   0.08   1.66  -0.25      -0.45      1.47       -0.53       0.48        3.15        0.10  0.84  1.69  3.98  2.51   0.54    1.02   0.15   0.31     3.90   0.48  2.52  0        0      1
3747   0.51   0.08   1.66  0.24       -0.08      0.45       -0.53       0.48        3.15        0.10  0.84  1.69  3.98  2.76   0.42    0.99   0.15   0.31     3.90   0.48  2.52  0        0      1
3750   -0.76  -1.11  5.08  0.38       0.33       1.55       2.77        0.10        31.47       0.37  0.50  3.71  2.68  6.03   6.22    1.91   0.36   0.77     0.95   0.35  0.53  0        0      1
3750   -0.76  -1.11  5.08  -0.60      -0.44      1.25       2.77        0.10        31.47       0.37  0.50  3.71  2.68  5.22   6.18    4.13   0.36   0.77     0.95   0.35  0.53  0        0      1
3794   -0.07  -0.39  1.27  0.62       0.25       1.72       -0.63       -0.29       1.29        0.08  0.87  1.31  4.12  2.70   0.36    1.40   0.12   0.24     6.38   0.49  3.82  0        0      1
3794   -0.07  -0.39  1.27  0.05       -0.31      1.12       -0.63       -0.29       1.29        0.08  0.87  1.31  4.12  2.81   0.28    0.69   0.12   0.24     6.38   0.49  3.82  0        0      1
3904   -0.46  -1.12  6.06  0.05       0.17       0.58       0.21        0.32        0.54        0.31  0.42  2.55  2.57  2.08   0.29    0.36   0.36   0.85     2.21   0.31  1.04  0        0      1
